place_id,place_name,source,title,landing_url,image_url,thumbnail_url,creator,license,license_url,inside_boundary,bc_in_metadata,raw_location_text
provincial-akamina-kishinena-park,Akamina-Kishinena Park,openverse,"Akamina-Kishinena Provincial Park, BC",https://www.flickr.com/photos/71035721@N00/769252783,https://live.staticflickr.com/1072/769252783_7a6dffe1d6_b.jpg,https://api.openverse.org/v1/images/b37e5d65-451f-4a1f-95b4-d6a9e431af69/thumb/,Rick McCharles,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,False,True,
provincial-alexandra-bridge-park,Alexandra Bridge Park,wikimedia_commons,Alexandra Bridge.jpg,https://commons.wikimedia.org/wiki/File:Alexandra_Bridge.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Alexandra_Bridge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/da/Alexandra_Bridge.jpg/960px-Alexandra_Bridge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,JaninaRitzen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,False,True,"A view of the Old Alexandra Bridge in Spuzzum, BC from the north end."
provincial-alice-lake-park,Alice Lake Park,wikimedia_commons,Alice lake twilight.jpg,https://commons.wikimedia.org/wiki/File:Alice_lake_twilight.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Alice_lake_twilight.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cd/Alice_lake_twilight.jpg/960px-Alice_lake_twilight.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Yummifruitbat,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,False,True,"Alice Lake, near Squamish, British Columbia, at twilight."
provincial-bear-creek-park,Bear Creek Park,wikimedia_commons,"Bear Creek Provincial Park, Central Okanagan, BC.png","https://commons.wikimedia.org/wiki/File:Bear_Creek_Provincial_Park,_Central_Okanagan,_BC.png",https://upload.wikimedia.org/wikipedia/commons/8/89/Bear_Creek_Provincial_Park%2C_Central_Okanagan%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/Bear_Creek_Provincial_Park%2C_Central_Okanagan%2C_BC.png/960px-Bear_Creek_Provincial_Park%2C_Central_Okanagan%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Preeteesh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,False,True,"Bear Creek Provincial Park - Central Okanagan, BC"
provincial-bear-creek-park,Bear Creek Park,wikimedia_commons,"Bear Creek Provincial Park - Central Okanagan, BC.png","https://commons.wikimedia.org/wiki/File:Bear_Creek_Provincial_Park_-_Central_Okanagan,_BC.png",https://upload.wikimedia.org/wikipedia/commons/5/5a/Bear_Creek_Provincial_Park_-_Central_Okanagan%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/Bear_Creek_Provincial_Park_-_Central_Okanagan%2C_BC.png/960px-Bear_Creek_Provincial_Park_-_Central_Okanagan%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Preeteesh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,False,True,"Bear Creek Provincial Park - Central Okanagan, BC"
provincial-bear-glacier-park,Bear Glacier Park,wikimedia_commons,BearGlacier3.jpg,https://commons.wikimedia.org/wiki/File:BearGlacier3.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/BearGlacier3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b0/BearGlacier3.jpg/960px-BearGlacier3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Herbmartin2,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,True,False,Bear Glacier from Highway to Stewart B.C.
provincial-big-bar-lake-park,Big Bar Lake Park,wikimedia_commons,Otter Marsh (260317249).jpeg,https://commons.wikimedia.org/wiki/File:Otter_Marsh_(260317249).jpeg,https://upload.wikimedia.org/wikipedia/commons/1/13/Otter_Marsh_%28260317249%29.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/Otter_Marsh_%28260317249%29.jpeg/960px-Otter_Marsh_%28260317249%29.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Jason Jackson,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,True,True,"Commons coordinates: 51.323060, -121.819582; 500px provided description: Near Big Bar Lake west of Clinton, BC. [#grass ,#marsh ,#BC ,#British Columbia ,#Cariboo]"
provincial-blackcomb-glacier-park,Blackcomb Glacier Park,openverse,"File:Whistler, Blackcomb Glacier Provincial Park, BC.png",https://commons.wikimedia.org/w/index.php?curid=60555718,https://upload.wikimedia.org/wikipedia/commons/e/e8/Whistler%2C_Blackcomb_Glacier_Provincial_Park%2C_BC.png,https://api.openverse.org/v1/images/2db85484-852f-45d0-8108-d6fb6477a6b4/thumb/,Preeteesh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,False,True,
provincial-blackcomb-glacier-park,Blackcomb Glacier Park,wikimedia_commons,"Blackcomb Glacier Provincial Park - Whistler, BC.png","https://commons.wikimedia.org/wiki/File:Blackcomb_Glacier_Provincial_Park_-_Whistler,_BC.png",https://upload.wikimedia.org/wikipedia/commons/c/cc/Blackcomb_Glacier_Provincial_Park_-_Whistler%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/Blackcomb_Glacier_Provincial_Park_-_Whistler%2C_BC.png/960px-Blackcomb_Glacier_Provincial_Park_-_Whistler%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Preeteesh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,False,True,"Commons coordinates: 50.091389, -122.908333; A gondola ride. Peak to Peak on the Whistler mountains."
provincial-blackcomb-glacier-park,Blackcomb Glacier Park,wikimedia_commons,"Blackcomb Glacier Provincial Park, Whistler, BC.png","https://commons.wikimedia.org/wiki/File:Blackcomb_Glacier_Provincial_Park,_Whistler,_BC.png",https://upload.wikimedia.org/wikipedia/commons/6/6f/Blackcomb_Glacier_Provincial_Park%2C_Whistler%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/Blackcomb_Glacier_Provincial_Park%2C_Whistler%2C_BC.png/960px-Blackcomb_Glacier_Provincial_Park%2C_Whistler%2C_BC.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Preeteesh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,False,True,"Blackcomb Glacier Provincial Park - Whistler, BC"
